SIP_Date,Ticker,Year_Month,Year,Month_Number,SIP_Buy_Price,SIP_Close_Price,Day_of_Month_Executed
2014-10-01,GOLDBEES.NS,2014-10,2014,10,24.696,24.696,1
2014-11-03,GOLDBEES.NS,2014-11,2014,11,24.295,24.295,3
2014-12-01,GOLDBEES.NS,2014-12,2014,12,23.917,23.917,1
2015-01-01,GOLDBEES.NS,2015-01,2015,1,24.5635,24.5635,1
2015-02-02,GOLDBEES.NS,2015-02,2015,2,25.6975,25.6975,2
2015-03-02,GOLDBEES.NS,2015-03,2015,3,24.623,24.623,2
2015-04-01,GOLDBEES.NS,2015-04,2015,4,24.136,24.136,1
2015-05-04,GOLDBEES.NS,2015-05,2015,5,24.5275,24.5275,4
2015-06-01,GOLDBEES.NS,2015-06,2015,6,24.5115,24.5115,1
2015-07-01,GOLDBEES.NS,2015-07,2015,7,24.177,24.177,1
2015-08-03,GOLDBEES.NS,2015-08,2015,8,22.741,22.741,3
2015-09-01,GOLDBEES.NS,2015-09,2015,9,24.45,24.45,1
2015-10-01,GOLDBEES.NS,2015-10,2015,10,23.6615,23.6615,1
2015-11-02,GOLDBEES.NS,2015-11,2015,11,24.115,24.115,2
2015-12-01,GOLDBEES.NS,2015-12,2015,12,23.105,23.105,1
2016-01-01,GOLDBEES.NS,2016-01,2016,1,22.802,22.802,1
2016-02-01,GOLDBEES.NS,2016-02,2016,2,24.33,24.33,1
2016-03-01,GOLDBEES.NS,2016-03,2016,3,26.5155,26.5155,1
2016-04-01,GOLDBEES.NS,2016-04,2016,4,25.7885,25.7885,1
2016-05-02,GOLDBEES.NS,2016-05,2016,5,27.476,27.476,2
2016-06-01,GOLDBEES.NS,2016-06,2016,6,26.5015,26.5015,1
2016-07-01,GOLDBEES.NS,2016-07,2016,7,28.0185,28.0185,1
2016-08-01,GOLDBEES.NS,2016-08,2016,8,28.4555,28.4555,1
2016-09-01,GOLDBEES.NS,2016-09,2016,9,27.824,27.824,1
2016-10-03,GOLDBEES.NS,2016-10,2016,10,28.179,28.179,3
2016-11-01,GOLDBEES.NS,2016-11,2016,11,27.405,27.405,1
2016-12-01,GOLDBEES.NS,2016-12,2016,12,26.162,26.162,1
2017-01-02,GOLDBEES.NS,2017-01,2017,1,25.5835,25.5835,2
2017-02-01,GOLDBEES.NS,2017-02,2017,2,26.4335,26.4335,1
2017-03-01,GOLDBEES.NS,2017-03,2017,3,26.932,26.932,1
2017-04-03,GOLDBEES.NS,2017-04,2017,4,26.0825,26.0825,3
2017-05-02,GOLDBEES.NS,2017-05,2017,5,26.1785,26.1785,2
